subject,session,experiment_phase,trial_index,log_num,log_time
SC000,0,STUDY2,13,0,328631.87365911
SC000,0,STUDY2,14,0,328638.8949806665
SC000,0,STUDY2,15,0,328646.7745094765
SC000,0,STUDY2,16,0,328654.03454421996
SC000,0,STUDY2,17,0,328660.2968193405
SC000,0,STUDY2,18,0,328667.9208267405
SC000,0,STUDY2,19,0,328675.44783132046
SC000,0,STUDY2,20,0,328682.2686276465
SC000,0,STUDY2,21,0,328689.831181161
SC000,0,STUDY2,22,0,328696.7388881845
SC000,0,STUDY2,23,0,328703.5911021135
SC000,0,STUDY2,24,0,328710.865895853
SC000,0,STUDY2,25,0,328718.0057141765
SC000,0,STUDY2,26,0,328724.9819465545
SC000,0,STUDY2,27,0,328732.04039479804
SC000,0,STUDY2,28,0,328738.3435480405
SC000,0,STUDY2,29,0,328744.63292062597
SC000,0,STUDY2,30,0,328751.418892612
SC000,0,STUDY2,31,0,328758.35762547946
SC000,0,STUDY2,32,0,328764.708911611
SC000,0,STUDY2,33,0,328772.06852146296
SC000,0,STUDY2,34,0,328778.9492406625
SC000,0,STUDY2,35,0,328785.5171426645
SC000,0,STUDY2,36,0,328792.58221148
SC000,0,STUDY2,37,0,328799.065396516
SC000,0,STUDY2,38,0,328806.2361252755
SC000,0,STUDY2,39,0,328814.147274778
SC000,0,STUDY2,40,0,328821.469095353
SC000,0,STUDY2,41,0,328827.949252453
SC000,0,STUDY2,42,0,328834.1350524205
SC000,0,STUDY2,43,0,328841.25455344445
SC000,0,STUDY2,44,0,328847.87612952746
SC000,0,STUDY2,45,0,328854.2564568495
SC000,0,STUDY2,46,0,328860.8983991815
SC000,0,STUDY2,47,0,328867.2956567375
SC000,0,STUDY2,48,0,328873.644219232
SC000,0,STUDY2,49,0,328879.9874456015
SC000,0,STUDY2,50,0,328886.3266956895
SC000,0,STUDY2,51,0,328892.5618907985
SC000,0,STUDY2,52,0,328899.0987756615
SC000,0,STUDY2,53,0,328905.434263143
SC000,0,STUDY2,54,0,328912.2474385415
SC000,0,STUDY2,55,0,328918.98743480246
SC000,0,STUDY2,56,0,328925.587352867
SC000,0,STUDY2,57,0,328932.882876631
SC000,0,STUDY2,58,0,328940.2039602815
SC000,0,STUDY2,59,0,328946.8449498045
SC000,0,STUDY2,60,0,328953.70235470997
SC000,0,STUDY2,61,0,328960.6175365845
SC000,0,STUDY2,62,0,328966.85505615454
SC000,0,STUDY2,63,0,328973.0659832425
SC000,0,STUDY2,64,0,328979.777965721
SC000,0,STUDY2,65,0,328986.27585564
SC000,0,STUDY2,66,0,328992.859041739
SC000,0,STUDY2,67,0,328999.43659898103
SC000,0,STUDY2,68,0,329005.8477721015
SC000,0,STUDY2,69,0,329013.438956876
SC000,0,STUDY2,70,0,329019.6082716655
SC000,0,STUDY2,71,0,329025.78468444804
SC000,0,STUDY2,72,0,329032.727483143
SC000,0,STUDY2,73,0,329039.214213235
SC000,0,STUDY2,74,0,329045.86025963095
SC000,0,STUDY2,75,0,329051.9423675745
SC000,0,STUDY2,76,0,329058.72897070553
SC000,0,STUDY2,77,0,329065.393826753
SC000,0,STUDY2,78,0,329071.88898198504
SC000,0,STUDY2,79,0,329078.339120725
SC000,0,STUDY2,80,0,329084.8154407755
SC000,0,STUDY2,81,0,329091.1356519745
SC000,0,STUDY2,82,0,329098.25430012203
SC000,0,STUDY2,83,0,329104.660983509
SC000,0,STUDY2,84,0,329111.1255948245
SC000,0,STUDY2,85,0,329117.61082927
SC000,0,STUDY2,86,0,329124.68745158147
SC000,0,STUDY2,87,0,329131.6498241675
SC000,0,STUDY2,88,0,329137.8977730815
SC000,0,STUDY2,89,0,329144.919086379
SC000,0,STUDY2,90,0,329151.8104165765
SC000,0,STUDY2,91,0,329157.97480050405
SC000,0,STUDY2,92,0,329165.33055285004
SC000,0,STUDY2,93,0,329171.4901208355
SC000,0,STUDY2,94,0,329177.9123634295
SC000,0,STUDY2,95,0,329184.48191171803
SC000,0,STUDY2,96,0,329190.87969701353
SC000,0,STUDY2,97,0,329197.9499159095
SC000,0,STUDY2,98,0,329205.244199616
SC000,0,STUDY2,99,0,329211.5858365365
SC000,0,STUDY2,100,0,329218.218010742
SC000,0,STUDY2,101,0,329224.776171049
SC000,0,STUDY2,102,0,329231.3724197075
SC000,0,STUDY2,103,0,329238.6009336225
SC000,0,STUDY2,104,0,329245.2593257065
SC000,0,STUDY2,105,0,329251.8298977235
