subject,session,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,STUDY1,126,327501918.69866097,0,327505.2223925875
SC000,0,STUDY1,127,327508222.642084,0,327511.460855066
SC000,0,STUDY1,128,327514460.963983,0,327518.819026193
SC000,0,STUDY1,129,327521819.16695,0,327525.267866233
SC000,0,STUDY1,130,327528268.370424,0,327531.85041049146
SC000,0,STUDY1,131,327534850.710464,0,327538.5586514775
SC000,0,STUDY1,132,327541558.80258805,0,327545.5720970975
SC000,0,STUDY1,133,327548572.27366203,0,327551.92794367555
SC000,0,STUDY1,134,327554928.26101,0,327558.530621487
SC000,0,STUDY1,135,327561531.16152096,0,327565.169635488
SC000,0,STUDY1,136,327568170.252985,0,327571.38109042996
SC000,0,STUDY1,137,327574381.741632,0,327577.640862791
SC000,0,STUDY1,138,327580641.186914,0,327584.3237906875
SC000,0,STUDY1,139,327587324.337602,0,327592.086904529
SC000,0,STUDY1,140,327595091.848597,0,327598.8024988355
SC000,0,STUDY1,141,327601802.639128,0,327605.67719451746
SC000,0,STUDY1,142,327608682.812558,0,327612.1807446965
SC000,0,STUDY1,143,327615180.8725,0,327619.68526609195
SC000,0,STUDY1,144,327622686.33847004,0,327626.6787631025
SC000,0,STUDY1,145,327629679.056334,0,327633.870884161
SC000,0,STUDY1,146,327636871.026418,0,327640.1759062545
SC000,0,STUDY1,147,327643182.13604504,0,327646.73428091
SC000,0,STUDY1,148,327649734.90119106,0,327652.989207002
SC000,0,STUDY1,149,327655994.13775504,0,327659.232389271
SC000,0,STUDY1,150,327662239.84800404,0,327666.109905974
SC000,0,STUDY1,151,327669115.357693,0,327672.534043171
SC000,0,STUDY1,152,327675539.71828604,0,327679.768487126
SC000,0,STUDY1,153,327682773.145822,0,327686.049087827
SC000,0,STUDY1,154,327689054.689219,0,327692.823240493
SC000,0,STUDY1,155,327695823.645947,0,327699.937840915
SC000,0,STUDY1,156,327702942.897691,0,327706.820147585
SC000,0,STUDY1,157,327709820.232212,0,327713.9780467545
SC000,0,STUDY1,158,327716983.426629,0,327720.6850001125
SC000,0,STUDY1,159,327723685.756461,0,327726.90435463446
SC000,0,STUDY1,160,327729909.657054,0,327733.6381656005
SC000,0,STUDY1,161,327736643.83401,0,327740.348302637
SC000,0,STUDY1,162,327743348.60508204,0,327747.1607679095
SC000,0,STUDY1,163,327750165.992916,0,327754.7178221765
SC000,0,STUDY1,164,327757718.002128,0,327762.243991746
SC000,0,STUDY1,165,327765249.47857404,0,327769.6190224275
SC000,0,STUDY1,166,327772619.58743703,0,327775.8779165215
SC000,0,STUDY1,167,327778878.414362,0,327782.4524164025
SC000,0,STUDY1,168,327785458.49384,0,327789.3816889415
SC000,0,STUDY1,169,327792381.886382,0,327795.6286362645
SC000,0,STUDY1,170,327798628.901008,0,327801.859899841
SC000,0,STUDY1,171,327804865.025001,0,327808.377115932
SC000,0,STUDY1,172,327811377.23062503,0,327815.2176797425
