subject,session,experiment_phase,event,trial_index,noun,noun_type,noun_category,environment,test_condition,response,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,63,SEAL,ANIMATE,aquatic_species,beach,SAME,A,1726.765958010219,0,326974.467206089
SC000,0,STUDY1,ENCODING_LONG,64,JAM,INANIMATE,food,sand_dunes,SAME,S,1567.7605855162255,0,326981.0623485405
SC000,0,STUDY1,ENCODING_LONG,65,TRACTOR,INANIMATE,vehicles,sand_dunes,SAME,S,2010.0894150091335,0,326988.100406253
SC000,0,STUDY1,ENCODING_LONG,66,OVEN,INANIMATE,furniture,beach,SAME,S,1985.3484785417095,0,326995.1140628185
SC000,0,STUDY1,ENCODING_LONG,67,ROBIN,ANIMATE,birds,sand_dunes,SAME,A,2315.866767487023,0,327002.4606227535
SC000,0,STUDY1,ENCODING_LONG,68,SLUG,ANIMATE,aquatic_species,canyon,REARRANGED,A,1423.4749034512788,0,327008.90925240447
SC000,0,STUDY1,ENCODING_LONG,69,PANDA,ANIMATE,mammals,beach,REARRANGED,A,1905.7231869664975,0,327015.842345304
SC000,0,STUDY1,ENCODING_LONG,70,SEAGULL,ANIMATE,birds,beach,SAME,A,1573.5636324970983,0,327022.4443664305
SC000,0,STUDY1,ENCODING_LONG,71,STUDENT,ANIMATE,people,canyon,SAME,A,1313.42419446446,0,327028.7891490405
SC000,0,STUDY1,ENCODING_LONG,72,PIZZA,INANIMATE,food,canyon,REARRANGED,S,1492.1252075000666,0,327035.3086152305
SC000,0,STUDY1,ENCODING_LONG,73,HEN,ANIMATE,birds,canyon,SAME,A,1757.837634475436,0,327042.0942861645
SC000,0,STUDY1,ENCODING_LONG,74,ALMOND,INANIMATE,food,beach,SAME,S,2761.486725474242,0,327049.8844675455
SC000,0,STUDY1,ENCODING_LONG,75,CARPENTER,ANIMATE,people,beach,SAME,A,1799.383667006623,0,327056.70940663
SC000,0,STUDY1,ENCODING_LONG,76,ROBIN,ANIMATE,birds,sand_dunes,SAME,A,2994.479114015121,0,327064.74369334104
SC000,0,STUDY1,ENCODING_LONG,77,HAWK,ANIMATE,birds,canyon,REARRANGED,A,1371.6253385064192,0,327174.7925827345
SC000,0,STUDY1,ENCODING_LONG,78,STOOL,INANIMATE,furniture,sand_dunes,SAME,S,1591.8795730103739,0,327181.425616945
SC000,0,STUDY1,ENCODING_LONG,79,STARFISH,ANIMATE,aquatic_species,beach,SAME,A,1074.9448714777827,0,327187.5279003575
SC000,0,STUDY1,ENCODING_LONG,80,JAGUAR,ANIMATE,mammals,sand_dunes,SAME,A,2394.8838704964146,0,327194.9508065395
SC000,0,STUDY1,ENCODING_LONG,81,SANDAL,INANIMATE,clothing,sand_dunes,SAME,S,1398.4364269999787,0,327201.381187662
SC000,0,STUDY1,ENCODING_LONG,82,NECKLACE,INANIMATE,clothing,sand_dunes,SAME,S,1961.0010650358163,0,327208.370243097
SC000,0,STUDY1,ENCODING_LONG,83,PANDA,ANIMATE,mammals,beach,REARRANGED,A,1172.0382010098547,0,327214.57025301
SC000,0,STUDY1,ENCODING_LONG,84,PANTS,INANIMATE,clothing,beach,SAME,S,1809.054664510768,0,327221.4080924475
SC000,0,STUDY1,ENCODING_LONG,85,SLUG,ANIMATE,aquatic_species,canyon,REARRANGED,A,1291.4079659967683,0,327227.727670572
SC000,0,STUDY1,ENCODING_LONG,86,OVEN,INANIMATE,furniture,beach,SAME,S,1611.1400229856372,0,327234.364071318
SC000,0,STUDY1,ENCODING_LONG,87,PILOT,ANIMATE,people,beach,REARRANGED,A,705.903951486107,0,327240.0965366215
SC000,0,STUDY1,ENCODING_LONG,88,SWEATER,INANIMATE,clothing,canyon,REARRANGED,S,1524.1279950132594,0,327246.648686663
SC000,0,STUDY1,ENCODING_LONG,89,DRYER,INANIMATE,furniture,beach,REARRANGED,S,1943.9683475065976,0,327253.62229320453
SC000,0,STUDY1,ENCODING_LONG,90,WOLF,ANIMATE,mammals,canyon,SAME,A,1189.28573501762,0,327259.841802986
SC000,0,STUDY1,ENCODING_LONG,91,CROW,ANIMATE,birds,beach,REARRANGED,A,1587.7578075160272,0,327266.4580612515
SC000,0,STUDY1,ENCODING_LONG,92,PIG,ANIMATE,mammals,sand_dunes,REARRANGED,S,2312.4467479647137,0,327273.79593048396
SC000,0,STUDY1,ENCODING_LONG,93,TOILET,INANIMATE,furniture,sand_dunes,SAME,S,1005.3350435337052,0,327279.8282049305
SC000,0,STUDY1,ENCODING_LONG,94,SHARK,ANIMATE,aquatic_species,sand_dunes,SAME,A,1724.0522190113552,0,327286.580481661
SC000,0,STUDY1,ENCODING_LONG,95,CLOWN,ANIMATE,people,canyon,SAME,A,2018.7966090161353,0,327293.627082734
