subject,session,experiment_phase,event,trial_index,sync_time,orient_time,trial_time,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,121,327467075.589753,327467105.628424,327469093.628713,1941.460732021369,0,327471.047089156
SC000,0,STUDY1,ENCODING_LONG,122,327474047.513442,327474078.533689,327476066.87233603,2862.9904094850644,0,327478.9415240985
SC000,0,STUDY1,ENCODING_LONG,123,327481947.413548,327481967.264243,327483958.867418,1596.7261390178464,0,327485.563990382
SC000,0,STUDY1,ENCODING_LONG,124,327488569.25796896,327488588.649514,327490576.99770606,1716.1848369869404,0,327492.304834351
SC000,0,STUDY1,ENCODING_LONG,125,327495309.812755,327495329.568142,327497320.18827003,1582.1961690089665,0,327498.911764311
SC000,0,STUDY1,ENCODING_LONG,126,327501918.69866097,327501938.950879,327503927.226638,1283.4417085396126,0,327505.2223925875
SC000,0,STUDY1,ENCODING_LONG,127,327508222.642084,327508262.971499,327510234.62412,1197.883567016106,0,327511.460855066
SC000,0,STUDY1,ENCODING_LONG,128,327514460.963983,327514490.279602,327516479.571092,2328.746590996161,0,327518.819026193
SC000,0,STUDY1,ENCODING_LONG,129,327521819.16695,327521846.371236,327523834.531237,1421.4949969900772,0,327525.267866233
SC000,0,STUDY1,ENCODING_LONG,130,327528268.370424,327528298.896452,327530274.688872,1551.5140394563787,0,327531.85041049146
SC000,0,STUDY1,ENCODING_LONG,131,327534850.710464,327534878.39393497,327536859.867145,1680.2575425244868,0,327538.5586514775
SC000,0,STUDY1,ENCODING_LONG,132,327541558.80258805,327541588.30491805,327543576.33035296,1983.7921794969589,0,327545.5720970975
SC000,0,STUDY1,ENCODING_LONG,133,327548572.27366203,327548612.378076,327550583.8467,1315.5655995360576,0,327551.92794367555
SC000,0,STUDY1,ENCODING_LONG,134,327554928.26101,327554955.145596,327556943.15112203,1575.4758910043165,0,327558.530621487
SC000,0,STUDY1,ENCODING_LONG,135,327561531.16152096,327561564.006798,327563537.174024,1605.6286899838597,0,327565.169635488
SC000,0,STUDY1,ENCODING_LONG,136,327568170.252985,327568198.88477397,327570176.76475,1182.2056559612975,0,327571.38109042996
SC000,0,STUDY1,ENCODING_LONG,137,327574381.741632,327574410.68769395,327576398.585076,1230.1750970073044,0,327577.640862791
SC000,0,STUDY1,ENCODING_LONG,138,327580641.186914,327580668.50043404,327582656.838172,1655.2902534604073,0,327584.3237906875
SC000,0,STUDY1,ENCODING_LONG,139,327587324.337602,327587353.35260403,327589341.261313,2733.5519249900244,0,327592.086904529
SC000,0,STUDY1,ENCODING_LONG,140,327595091.848597,327595111.220297,327597099.62326103,1691.2785384920426,0,327598.8024988355
SC000,0,STUDY1,ENCODING_LONG,141,327601802.639128,327601831.380431,327603819.147383,1845.8140864386223,0,327605.67719451746
SC000,0,STUDY1,ENCODING_LONG,142,327608682.812558,327608704.90020394,327610692.767426,1475.8444925537333,0,327612.1807446965
SC000,0,STUDY1,ENCODING_LONG,143,327615180.8725,327615210.229702,327617193.281603,2475.0363899511285,0,327619.68526609195
SC000,0,STUDY1,ENCODING_LONG,144,327622686.33847004,327622729.586994,327624703.215589,1949.1761085228063,0,327626.6787631025
SC000,0,STUDY1,ENCODING_LONG,145,327629679.056334,327629719.046727,327631691.84558797,2151.837433979381,0,327633.870884161
SC000,0,STUDY1,ENCODING_LONG,146,327636871.026418,327636898.058772,327638889.245425,1277.8474824735895,0,327640.1759062545
SC000,0,STUDY1,ENCODING_LONG,147,327643182.13604504,327643202.155589,327645191.246854,1532.1253209840506,0,327646.73428091
SC000,0,STUDY1,ENCODING_LONG,148,327649734.90119106,327649761.800981,327651751.559003,1227.4060209747404,0,327652.989207002
SC000,0,STUDY1,ENCODING_LONG,149,327655994.13775504,327656013.915188,327658007.514265,1218.474082998,0,327659.232389271
