subject,session,experiment_block,experiment_phase,trial_index,sync_time,orient_time,trial_time,response_time,log_num,log_time
SC000,0,0,RETRIEVAL,16,339414364.795612,339414384.26041996,339416377.405242,,0,339420.35983947245
SC000,0,0,RETRIEVAL,17,339423360.126282,339423396.674753,339425369.42516804,,0,339429.35983947245
SC000,0,0,RETRIEVAL,18,339432360.183919,339432391.523586,339434378.176406,,0,339438.35983947245
SC000,0,0,RETRIEVAL,19,339441360.222057,339441396.446755,339443369.459401,,0,339447.35983947245
SC000,0,0,RETRIEVAL,20,339450360.234256,339450399.67912596,339452369.311603,,0,339456.35983947245
SC000,0,0,RETRIEVAL,21,339459360.108494,339459391.721853,339461378.11517096,,0,339465.35983947245
SC000,0,0,RETRIEVAL,22,339468360.202139,339468390.635167,339470377.193761,,0,339474.35983947245
SC000,0,0,RETRIEVAL,23,339477360.081312,339477394.637545,339479364.49444497,,0,339483.35983947245
SC000,0,0,RETRIEVAL,24,339486359.99462104,339486397.92355204,339488368.632393,,0,339492.35983947245
SC000,0,0,RETRIEVAL,25,339495360.327682,339495390.372921,339497376.98022103,,0,339501.35983947245
SC000,0,0,RETRIEVAL,26,339504360.13289,339504395.687989,339506368.50096697,,0,339510.35983947245
SC000,0,0,RETRIEVAL,27,339513360.142889,339513398.916529,339515368.404902,,0,339519.35983947245
SC000,0,0,RETRIEVAL,28,339522360.43813205,339522390.10375,339524376.815395,,0,339528.35983947245
SC000,0,0,RETRIEVAL,29,339531360.28981197,339531396.116651,339533368.099724,,0,339537.35983947245
SC000,0,0,RETRIEVAL,30,339540360.22753,339540390.255737,339542376.709114,,0,339546.35983947245
SC000,0,0,RETRIEVAL,31,339549360.191254,339549395.27237797,339551367.746134,,0,339555.35983947245
SC000,0,0,RETRIEVAL,32,339558360.108255,339558390.012276,339560376.31798,,0,339564.35983947245
SC000,0,0,RETRIEVAL,33,339567360.715203,339567394.63753605,339569373.099038,,0,339573.35983947245
SC000,0,0,RETRIEVAL,34,339576360.124613,339576394.472594,339578367.58300704,,0,339582.35983947245
SC000,0,0,RETRIEVAL,35,339585359.983926,339585398.30710304,339587368.149281,,0,339591.35983947245
SC000,0,0,RETRIEVAL,36,339594359.97271,339594389.298007,339596376.010602,,0,339600.35983947245
SC000,0,0,RETRIEVAL,37,339603360.18808097,339603396.39564097,339605367.200381,,0,339609.35983947245
SC000,0,0,RETRIEVAL,38,339612360.201383,339612397.55323803,339614367.15028703,,0,339618.35983947245
SC000,0,0,RETRIEVAL,39,339621359.98174405,339621397.434019,339623366.926782,,0,339627.35983947245
SC000,0,0,RETRIEVAL,40,339630360.364274,339630397.470192,339632366.859123,,0,339636.35983947245
SC000,0,0,RETRIEVAL,41,339639360.197954,339639397.156358,339641366.624953,,0,339645.35983947245
SC000,0,0,RETRIEVAL,42,339648360.074867,339648394.151281,339650366.682978,,0,339654.35983947245
SC000,0,0,RETRIEVAL,43,339657360.19540995,339657388.00739,339659374.564988,,0,339663.35983947245
SC000,0,0,RETRIEVAL,44,339666360.195029,339666393.402789,339668366.36468196,,0,339672.35983947245
SC000,0,0,RETRIEVAL,45,339675360.116435,339675389.71356,339677376.379349,,0,339681.35983947245
SC000,0,0,RETRIEVAL,46,339684360.508008,339684395.60719997,339686365.816921,,0,339690.35983947245
SC000,0,0,RETRIEVAL,47,339693360.341072,339693397.98832303,339695367.933448,,0,339699.35983947245
SC000,0,0,RETRIEVAL,48,339702360.107484,339702397.717975,339704367.579166,,0,339708.35983947245
SC000,0,0,RETRIEVAL,49,339711360.327865,339711387.331419,339713373.967389,,0,339717.35983947245
SC000,0,0,RETRIEVAL,50,339720360.317489,339720392.81452304,339722365.201253,,0,339726.35983947245
SC000,0,0,RETRIEVAL,51,339729360.386434,339729436.059788,339731372.39323497,,0,339735.35983947245
SC000,0,0,RETRIEVAL,52,339738360.16446203,339738391.33628803,339740365.571961,,0,339744.35983947245
SC000,0,0,RETRIEVAL,53,339747360.123577,339747390.58401096,339749377.206852,,0,339753.35983947245
SC000,0,0,RETRIEVAL,54,339756360.066912,339756390.001616,339758376.44469804,,0,339762.35983947245
SC000,0,0,RETRIEVAL,55,339765360.20197594,339765395.632266,339767365.111314,,0,339771.35983947245
SC000,0,0,RETRIEVAL,56,339774360.55477595,339774395.29877,339776364.875468,,0,339780.35983947245
SC000,0,0,RETRIEVAL,57,339783366.350855,339783386.208527,339785374.123,,0,339789.35983947245
SC000,0,0,RETRIEVAL,58,339792360.24846005,339792389.599499,339794376.199384,,0,339798.35983947245
SC000,0,0,RETRIEVAL,59,339801359.997899,339801394.488861,339803364.205761,,0,339807.35983947245
