subject,session,experiment_block,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,0,RETRIEVAL,9,339351360.412482,0,339357.35983947245
SC000,0,0,RETRIEVAL,10,339360360.064323,0,339366.35983947245
SC000,0,0,RETRIEVAL,11,339369360.454718,0,339375.35983947245
SC000,0,0,RETRIEVAL,12,339378360.65711904,0,339384.35983947245
SC000,0,0,RETRIEVAL,13,339387360.178904,0,339393.35983947245
SC000,0,0,RETRIEVAL,14,339396359.96584404,0,339402.35983947245
SC000,0,0,RETRIEVAL,15,339405360.25017697,0,339411.35983947245
SC000,0,0,RETRIEVAL,16,339414364.795612,0,339420.35983947245
SC000,0,0,RETRIEVAL,17,339423360.126282,0,339429.35983947245
SC000,0,0,RETRIEVAL,18,339432360.183919,0,339438.35983947245
SC000,0,0,RETRIEVAL,19,339441360.222057,0,339447.35983947245
SC000,0,0,RETRIEVAL,20,339450360.234256,0,339456.35983947245
SC000,0,0,RETRIEVAL,21,339459360.108494,0,339465.35983947245
SC000,0,0,RETRIEVAL,22,339468360.202139,0,339474.35983947245
SC000,0,0,RETRIEVAL,23,339477360.081312,0,339483.35983947245
SC000,0,0,RETRIEVAL,24,339486359.99462104,0,339492.35983947245
SC000,0,0,RETRIEVAL,25,339495360.327682,0,339501.35983947245
SC000,0,0,RETRIEVAL,26,339504360.13289,0,339510.35983947245
SC000,0,0,RETRIEVAL,27,339513360.142889,0,339519.35983947245
SC000,0,0,RETRIEVAL,28,339522360.43813205,0,339528.35983947245
SC000,0,0,RETRIEVAL,29,339531360.28981197,0,339537.35983947245
SC000,0,0,RETRIEVAL,30,339540360.22753,0,339546.35983947245
SC000,0,0,RETRIEVAL,31,339549360.191254,0,339555.35983947245
SC000,0,0,RETRIEVAL,32,339558360.108255,0,339564.35983947245
SC000,0,0,RETRIEVAL,33,339567360.715203,0,339573.35983947245
