subject,session,experiment_block,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,0,RETRIEVAL,7,381959242.75991905,0,381965.242528088
SC000,0,0,RETRIEVAL,8,381968242.97666603,0,381974.242528088
SC000,0,0,RETRIEVAL,9,381977243.095039,0,381983.242528088
SC000,0,0,RETRIEVAL,10,381986242.98759997,0,381992.242528088
SC000,0,0,RETRIEVAL,11,381995242.894051,0,382001.242528088
SC000,0,0,RETRIEVAL,12,382004242.691688,0,382010.242528088
SC000,0,0,RETRIEVAL,13,382013242.896892,0,382019.242528088
SC000,0,0,RETRIEVAL,14,382022242.76984304,0,382028.242528088
SC000,0,0,RETRIEVAL,15,382031243.08543,0,382037.242528088
SC000,0,0,RETRIEVAL,16,382040242.731394,0,382046.242528088
SC000,0,0,RETRIEVAL,17,382049242.818065,0,382055.242528088
SC000,0,0,RETRIEVAL,18,382058242.803964,0,382064.242528088
SC000,0,0,RETRIEVAL,19,382067242.923277,0,382073.242528088
SC000,0,0,RETRIEVAL,20,382076243.232278,0,382082.242528088
SC000,0,0,RETRIEVAL,21,382085242.84247404,0,382091.242528088
SC000,0,0,RETRIEVAL,22,382094242.939889,0,382100.242528088
SC000,0,0,RETRIEVAL,23,382103242.715017,0,382109.242528088
SC000,0,0,RETRIEVAL,24,382112242.99610096,0,382118.242528088
SC000,0,0,RETRIEVAL,25,382121242.82029605,0,382127.242528088
SC000,0,0,RETRIEVAL,26,382130242.68825495,0,382136.242528088
SC000,0,0,RETRIEVAL,27,382139242.68282896,0,382145.242528088
SC000,0,0,RETRIEVAL,28,382148242.864656,0,382154.242528088
SC000,0,0,RETRIEVAL,29,382157242.856665,0,382163.242528088
SC000,0,0,RETRIEVAL,30,382166242.727787,0,382172.242528088
SC000,0,0,RETRIEVAL,31,382175242.634897,0,382181.242528088
SC000,0,0,RETRIEVAL,32,382184243.045554,0,382190.242528088
SC000,0,0,RETRIEVAL,33,382193242.99173903,0,382199.242528088
SC000,0,0,RETRIEVAL,34,382202243.51043105,0,382208.242528088
SC000,0,0,RETRIEVAL,35,382211242.677424,0,382217.242528088
